category,url
"01.0699) Applied Horticulture/Horticultural Business Services, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90313
01.07) International Agriculture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90314
01.0701) International Agriculture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90315
01.08) Agricultural Public Services.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89510
01.0801) Agricultural and Extension Education Services.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90057
01.0802) Agricultural Communication/Journalism.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89511
"01.0899) Agricultural Public Services, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89512
01.09) Animal Sciences.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90058
"01.0901) Animal Sciences, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90059
01.0902) Agricultural Animal Breeding.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90060
01.0903) Animal Health.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90061
01.0904) Animal Nutrition.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90062
01.0905) Dairy Science.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90063
01.0906) Livestock Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89513
01.0907) Poultry Science.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90064
"01.0999) Animal Sciences, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90065
01.10) Food Science and Technology.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90066
01.1001) Food Science.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90067
01.1002) Food Technology and Processing.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89514
01.1003) Brewing Science.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91652
01.1004) Viticulture and Enology.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91393
01.1005) Zymology/Fermentation Science.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91653
"01.1099) Food Science and Technology, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89515
01.11) Plant Sciences.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90316
"01.1101) Plant Sciences, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90068
01.1102) Agronomy and Crop Science.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90069
01.1103) Horticultural Science.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90070
01.1104) Agricultural and Horticultural Plant Breeding.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89516
01.1105) Plant Protection and Integrated Pest Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90071
01.1106) Range Science and Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90072
01.1180) Reserved.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93244
"01.1199) Plant Sciences, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90073
01.12) Soil Sciences.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90317
"01.1201) Soil Science and Agronomy, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90074
01.1202) Soil Chemistry and Physics.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89517
01.1203) Soil Microbiology.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89518
"01.1299) Soil Sciences, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89519
01.13) Agriculture/Veterinary Preparatory Programs.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=92993
01.1302) Pre-Veterinary Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91086
"01.1399) Agriculture/Veterinary Preparatory Programs, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=92995
01.80) Veterinary Medicine.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91145
01.8001) Veterinary Medicine.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91146
01.81) Veterinary Biomedical and Clinical Sciences.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91147
"01.8101) Veterinary Sciences/Veterinary Clinical Sciences, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91148
01.8102) Comparative and Laboratory Animal Medicine.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89979
01.8103) Large Animal/Food Animal and Equine Surgery and Medicine.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89977
01.8104) Small/Companion Animal Surgery and Medicine.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89978
01.8105) Veterinary Anatomy.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89972
01.8106) Veterinary Infectious Diseases.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89981
01.8107) Veterinary Microbiology and Immunobiology.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89974
01.8108) Veterinary Pathology and Pathobiology.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89975
01.8109) Veterinary Physiology.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89973
"01.8110) Veterinary Preventive Medicine, Epidemiology, and Public Health.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89980
01.8111) Veterinary Toxicology and Pharmacology.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89976
"01.8199) Veterinary Biomedical and Clinical Sciences, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89982
01.82) Veterinary Administrative Services.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93008
"01.8201) Veterinary Administrative Services, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93009
01.8202) Veterinary Office Management/Administration.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93012
01.8203) Veterinary Reception/Receptionist.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93013
01.8204) Veterinary Administrative/Executive Assistant and Veterinary Secretary.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93014
"01.8299) Veterinary Administrative Services, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93015
01.83) Veterinary/Animal Health Technologies/Technicians.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93016
01.8301) Veterinary/Animal Health Technology/Technician and Veterinary Assistant.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91060
"01.8399) Veterinary/Animal Health Technologies/Technicians, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93019
"01.99) Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90318
"01.9999) Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90319
03) NATURAL RESOURCES AND CONSERVATION.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90320
03.01) Natural Resources Conservation and Research.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90321
"03.0101) Natural Resources/Conservation, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90322
03.0103) Environmental Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89520
03.0104) Environmental Science.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89521
"03.0199) Natural Resources Conservation and Research, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89522
03.02) Environmental/Natural Resources Management and Policy.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90323
"03.0201) Environmental/Natural Resources Management and Policy, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90324
03.0204) Environmental/Natural Resource Economics.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89523
"03.0205) Water, Wetlands, and Marine Resources Management.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89524
03.0206) Land Use Planning and Management/Development.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89525
03.0207) Environmental/Natural Resource Recreation and Tourism.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91394
03.0208) Environmental/Natural Resources Law Enforcement and Protective Services.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91412
03.0209) Energy and Environmental Policy.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91753
03.0210) Bioenergy.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91754
"03.0299) Environmental/Natural Resources Management and Policy, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90325
03.03) Fishing and Fisheries Sciences and Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90254
03.0301) Fishing and Fisheries Sciences and Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90255
03.05) Forestry.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90256
"03.0501) Forestry, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90257
03.0502) Forest Sciences and Biology.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90258
03.0506) Forest Management/Forest Resources Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90259
03.0508) Urban Forestry.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89495
03.0509) Wood Science and Wood Products/Pulp and Paper Technology/Technician.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90260
03.0510) Forest Resources Production and Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89496
03.0511) Forest Technology/Technician.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89497
"03.0599) Forestry, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90261
03.06) Wildlife and Wildlands Science and Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90262
"03.0601) Wildlife, Fish and Wildlands Science and Management.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90263
"03.99) Natural Resources and Conservation, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90264
"03.9999) Natural Resources and Conservation, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90265
04) ARCHITECTURE AND RELATED SERVICES.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90266
04.02) Architecture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90267
04.0200) Pre-Architecture Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91756
04.0201) Architecture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90268
04.0202) Architectural Design.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91759
"04.0299) Architecture, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=92997
"04.03) City/Urban, Community, and Regional Planning.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90269
"04.0301) City/Urban, Community, and Regional Planning.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90270
04.04) Environmental Design.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90271
04.0401) Environmental Design/Architecture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90272
04.0402) Healthcare Environment Design/Architecture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91757
04.0403) Sustainable Design/Architecture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91758
"04.0499) Environmental Design, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=92998
04.05) Interior Architecture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90273
04.0501) Interior Architecture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90274
04.06) Landscape Architecture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90275
04.0601) Landscape Architecture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90276
"04.08) Architectural History, Criticism, and Conservation.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89498
"04.0801) Architectural History and Criticism, General.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89499
04.0802) Architectural Conservation.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91755
04.0803) Architectural Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93057
"04.0899) Architectural History, Criticism, and Conservation, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=93055
04.09) Architectural Sciences and Technology.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89500
04.0901) Architectural Technology/Technician.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89501
04.0902) Architectural and Building Sciences/Technology.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91583
"04.0999) Architectural Sciences and Technology, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91584
04.10) Real Estate Development.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91585
04.1001) Real Estate Development.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91586
"04.99) Architecture and Related Services, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90277
"04.9999) Architecture and Related Services, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90278
"05) AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90279
05.01) Area Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90280
05.0101) African Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90281
05.0102) American/United States Studies/Civilization.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90282
05.0103) Asian Studies/Civilization.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90326
05.0104) East Asian Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90327
"05.0105) Russian, Central European, East European and Eurasian Studies.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90328
05.0106) European Studies/Civilization.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90329
05.0107) Latin American Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90330
05.0108) Near and Middle Eastern Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90331
05.0109) Pacific Area/Pacific Rim Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90332
05.0110) Russian Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90333
05.0111) Scandinavian Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90334
05.0112) South Asian Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90335
05.0113) Southeast Asian Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90336
05.0114) Western European Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90337
05.0115) Canadian Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90338
05.0116) Balkans Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89526
05.0117) Baltic Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89527
05.0118) Slavic Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89528
05.0119) Caribbean Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89529
05.0120) Ural-Altaic and Central Asian Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89530
05.0121) Commonwealth Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89531
"05.0122) Regional Studies (U.S., Canadian, Foreign).",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89532
05.0123) Chinese Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89533
05.0124) French Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89534
05.0125) German Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89535
05.0126) Italian Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89536
05.0127) Japanese Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89537
05.0128) Korean Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89538
05.0129) Polish Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89539
05.0130) Spanish and Iberian Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89540
05.0131) Tibetan Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89541
05.0132) Ukraine Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89542
05.0133) Irish Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91413
05.0134) Latin American and Caribbean Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91414
05.0135) Appalachian Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91742
05.0136) Arctic Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91743
"05.0199) Area Studies, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90339
"05.02) Ethnic, Cultural Minority, Gender, and Group Studies.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90340
05.0200) Ethnic Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91415
05.0201) African-American/Black Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90341
05.0202) American Indian/Native American Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90342
"05.0203) Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90343
05.0206) Asian-American Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90344
05.0207) Women's Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90345
05.0208) Gay/Lesbian Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=89543
05.0209) Folklore Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91416
05.0210) Disability Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91417
05.0211) Deaf Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91418
05.0212) Comparative Group Studies.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=91745
"05.0299) Ethnic, Cultural Minority, Gender, and Group Studies, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=90346
"05.99) Area, Ethnic, Cultural, Gender, and Group Studies, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=56&cipid=92999
