definition,see_also,change,text_change,examples,code_2020,title_2020,code_2010,title_2010
"A program of study that prepares individuals to become specialists in equine hoof care (farriers). Includes instruction in equine science, equine health and first aid, general horseshoeing, corrective horseshoeing, gait analysis, and metal forging techniques using gas or coal",None available,New,None available,None available,01.0509,Farrier Science.,,
Any instructional program in agricultural and domestic animal services not listed above,None available,No Substantive Changes,None available,None available,01.0599,"Agricultural and Domestic Animal Services, Other.",01.0599,"Agricultural and Domestic Animal Services, Other."
Instructional content for this group of programs is defined in codes 01.0601 - 01.0699,None available,No Substantive Changes,None available,None available,01.06,Applied Horticulture and Horticultural Business Services.,01.06,Applied Horticulture and Horticultural Business Services.
"A program that focuses on the general production and processing of domesticated plants, shrubs, flowers, foliage, trees, groundcovers, and related plant materials; the management of technical and business operations connected with horticultural services; and the basic scientific principles needed to understand plants and their management and care",None available,No Substantive Changes,None available,None available,01.0601,"Applied Horticulture/Horticulture Operations, General.",01.0601,"Applied Horticulture/Horticulture Operations, General."
"A program that focuses on  domesticated plants and plant materials used for decorative and recreational applications and prepares individuals to breed, grow, and utilize ornamental plant varieties for commercial and aesthetic purposes.  Includes instruction in applicable plant science subjects, the environmental design and artistic aspects of horticultural product usage, and the management of horticultural operations",None available,No Substantive Changes,None available,None available,01.0603,Ornamental Horticulture.,01.0603,Ornamental Horticulture.
"A program that prepares individuals to produce, store, and deliver plant species in controlled indoor environments for wholesale, commercial, research, or other purposes.  Includes instruction in applicable principles of plant science; climate, irrigation, and nutrition control equipment operation and maintenance; facilities management; inventory control; safety procedures; and personnel supervision",None available,No Substantive Changes,None available,None available,01.0604,Greenhouse Operations and Management.,01.0604,Greenhouse Operations and Management.
"A program that prepares individuals to manage and maintain indoor and/or outdoor ornamental and recreational plants and groundcovers and related conceptual designs established by landscape architects, interior designers, enterprise owners or managers, and individual clients.  Includes instruction in applicable principles of horticulture, gardening, plant and soil irrigation and nutrition, turf maintenance, plant maintenance, equipment operation and maintenance, personnel supervision, and purchasing",04.0601) Landscape Architecture.,No Substantive Changes,None available,[Greenspace],01.0605,Landscaping and Groundskeeping.,01.0605,Landscaping and Groundskeeping.
"A program that prepares individuals to operate and manage outdoor plant farms, tree and shrub nurseries, and related facilities that develop domesticated plant products for propagation, harvesting, and transplantation.  Includes instruction in applicable principles of plant science, farm and business management, nursery operations, equipment operation and maintenance, safety procedures, and personnel supervision",None available,No Substantive Changes,None available,None available,01.0606,Plant Nursery Operations and Management.,01.0606,Plant Nursery Operations and Management.
"A program that focuses on turfgrasses and related groundcover plants and prepares individuals to develop ornamental or recreational grasses and related products; plant, transplant, and manage grassed areas; and to produce and store turf used for transplantation.  Includes instruction in applicable plant sciences, genetics of grasses, turf science, use analysis, turf management, and related economics",None available,No Substantive Changes,None available,[Golf and Sports Turf Management],01.0607,Turf and Turfgrass Management.,01.0607,Turf and Turfgrass Management.
"A program that prepares individuals to operate and manage commercial and contract florist enterprises, supply and delivery services, and flower catering services.  Includes instruction in the applicable principles of plant science; purchasing, storage, and delivery systems; floral design and arranging; and principles of business management",None available,No Substantive Changes,None available,[Floral Arrangement]:::::[Floral Design]:::::[Floristry]:::::[Retail Floristry],01.0608,Floriculture/Floristry Operations and Management.,01.0608,Floriculture/Floristry Operations and Management.
"A program of study that focuses on combining traditional horticulture and public education and outreach. Includes instruction in botany, soil science, plant science, agricultural economics, leadership, and business",36.0123) Master Gardener/Gardening.,New,None available,None available,01.0609,Public Horticulture.,,
"A program that focuses on principles and techniques for the production of horticultural crops in an urban environment. Includes instruction in ecology, environmental sustainability, food production systems, and plant and soil sciences",None available,New,None available,None available,01.0610,Urban and Community Horticulture.,,
Reserved for use by Statistics Canada. This CIP code is not valid for IPEDS reporting,None available,New,None available,None available,01.0680,Reserved.,,
Any instructional program in horticultural service operations not listed above,03.0508) Urban Forestry.,No Substantive Changes,None available,None available,01.0699,"Applied Horticulture/Horticultural Business Services, Other.",01.0699,"Applied Horticulture/Horticultural Business Services, Other."
Instructional content is defined in code 01.0701,None available,No Substantive Changes,None available,None available,01.07,International Agriculture.,01.07,International Agriculture.
"A program that focuses on the application of agricultural management and scientific principles to the problems of global food production and distribution, and to the study of the agricultural systems of other countries.  Includes instruction in agricultural economics; comparative agricultural systems; international agribusiness and law; third-world development studies and economic development; and global applications of climate, soil, water resources, ecological and environmental studies, and animal and plant sciences",45.0604) Development Economics and International Development.,No Substantive Changes,None available,None available,01.0701,International Agriculture.,01.0701,International Agriculture.
Instructional content for this group of programs is defined in codes 01.0801 - 01.0899,None available,No Substantive Changes,None available,None available,01.08,Agricultural Public Services.,01.08,Agricultural Public Services.
"A program that prepares individuals to provide referral, consulting, technical assistance, and educational services to gardeners, farmers, ranchers, agribusinesses, and other organizations.  Includes instruction in basic agricultural sciences, agricultural business operations, pest control, adult education methods, public relations, applicable state laws and regulations, and communication skills","13.1301) Agricultural Teacher Education., 36.0123) Master Gardener/Gardening., 45.1103) Rural Sociology.",No Substantive Changes,None available,None available,01.0801,Agricultural and Extension Education Services.,01.0801,Agricultural and Extension Education Services.
"A program that prepares individuals to apply journalistic, communication, and broadcasting principles to the development, production, and transmittal of agricultural information.  Includes instruction in basic journalism, broadcasting, film/video, and communication techniques; the production of technically specialized information products for agricultural audiences; and the principles of agricultural sciences and business operations needed to develop and communicate agricultural subject matter in effective ways",09.0407) Science/Health/Environmental Journalism.,No Substantive Changes,None available,None available,01.0802,Agricultural Communication/Journalism.,01.0802,Agricultural Communication/Journalism.
Any instructional program in general agricultural sciences and related services not listed above,None available,No Substantive Changes,None available,None available,01.0899,"Agricultural Public Services, Other.",01.0899,"Agricultural Public Services, Other."
Instructional content for this group of programs is defined in codes 01.0901 - 01.0999,None available,No Substantive Changes,None available,None available,01.09,Animal Sciences.,01.09,Animal Sciences.
"A general program that focuses on the scientific principles that underlie the breeding and husbandry of agricultural animals, and the production, processing, and distribution of agricultural animal products.  Includes instruction in the animal sciences, animal husbandry and production, and agricultural and food products processing",26.0701) Zoology/Animal Biology.,No Substantive Changes,None available,None available,01.0901,"Animal Sciences, General.",01.0901,"Animal Sciences, General."
"A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural animal health, the development of new animal breeds, and the selective improvement of agricultural animal populations.  Includes instruction in genetics, genetic engineering, population genetics, animal health, animal husbandry, and biotechnology",26.0804) Animal Genetics.,No Substantive Changes,None available,None available,01.0902,Agricultural Animal Breeding.,01.0902,Agricultural Animal Breeding.
"A program that focuses on the application of biological and chemical principles to the study, prevention, and control of diseases in agricultural animal populations.  Includes instruction in environmental science, pharmacology, animal population studies, genetics, animal physiology and diet, disease prevention, treatment methodologies, and laboratory and testing procedures",None available,No Substantive Changes,None available,None available,01.0903,Animal Health.,01.0903,Animal Health.
"A program that focuses on the biology and chemistry of proteins, fats, carbohydrates, water, vitamins, and feed additives as related to animal health and the production of improved animal products.  Includes instruction in nutrition science, animal health and physiology, biochemistry, cellular and molecular biology, animal husbandry, and food science",None available,No Substantive Changes,None available,None available,01.0904,Animal Nutrition.,01.0904,Animal Nutrition.
"A program that focuses on the application of biological and chemical principles to the production and management of dairy animals and the production and handling of dairy products.  Includes instruction in animal sciences, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety",None available,No Substantive Changes,None available,None available,01.0905,Dairy Science.,01.0905,Dairy Science.
"A program that focuses on the application of biological and chemical principles to the production and management of livestock animals and the production and handling of meat and other products.  Includes instruction in animal sciences, range science, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety",None available,No Substantive Changes,None available,[Meat Science],01.0906,Livestock Management.,01.0906,Livestock Management.
"A program that focuses on the application of biological and chemical principles to the production and management of poultry animals and the production and handling of poultry products.  Includes instruction in avian sciences, nutrition sciences, food science and technology, biochemistry, hatchery design, and related aspects of human and animal health and safety",None available,No Substantive Changes,None available,None available,01.0907,Poultry Science.,01.0907,Poultry Science.
Any instructional program in the animal sciences not listed above,None available,No Substantive Changes,None available,None available,01.0999,"Animal Sciences, Other.",01.0999,"Animal Sciences, Other."
Instructional content for this group of programs is defined in codes 01.1001 - 01.1099,None available,No Substantive Changes,None available,None available,01.10,Food Science and Technology.,01.10,Food Science and Technology.
"A program that focuses on the application of biological, chemical, and physical principles to the study of converting raw agricultural products into processed forms suitable for direct human consumption, and the storage of such products.  Includes instruction in applicable aspects of the agricultural sciences, human physiology and nutrition, food chemistry, agricultural products processing, food additives, food preparation and packaging, food storage and shipment, and related aspects of human health and safety including toxicology and pathology","12.0509) Culinary Science/Culinology., 19.0501) Foods, Nutrition, and Wellness Studies, General.",No Substantive Changes,None available,[Food Safety],01.1001,Food Science.,01.1001,Food Science.
"A program that focuses on the application of chemical, physical, and engineering principles to the development and implementation of manufacturing, packaging, storage, and distribution technologies and processes for food products.  Includes instruction in food engineering, food preservation and handling, food preparation, food packaging and display, food storage and shipment, and related equipment and facilities design, operation, and maintenance",None available,No Substantive Changes,None available,None available,01.1002,Food Technology and Processing.,01.1002,Food Technology and Processing.
"A program that focuses on the business, science, and technology of beer brewing operations. Includes instruction in biology, biochemistry, brewing, entrepreneurship, fermentation, malting, marketing, microbiology, quality control, and sanitation",52.0910) Brewery/Brewpub Operations/Management.,New,None available,[Sustainable Brewing],01.1003,Brewing Science.,,
"A program that focuses on the application of scientific and agribusiness principles to the production of grapes, the making of wine, and the wine business. Includes instruction in grapes and wines of the world; grape production; winemaking technology; plant biology; chemistry; food science, safety, and packaging; soil science; pest management; and marketing and business management",None available,Moved from 01.0309 to 01.1004,None available,[Viticulture]:::::[Enology],01.1004,Viticulture and Enology.,01.0309,Viticulture and Enology.
"A program that focuses on the business, science, and technology of fermented food production. Includes instruction in biology, biochemistry, brewing, entrepreneurship, fermentation, marketing, microbiology, quality control, and sanitation",52.0910) Brewery/Brewpub Operations/Management.,New,None available,None available,01.1005,Zymology/Fermentation Science.,,
Any instructional program in food sciences and technology not listed above,None available,No Substantive Changes,None available,None available,01.1099,"Food Science and Technology, Other.",01.1099,"Food Science and Technology, Other."
Instructional content for this group of programs is defined in codes 01.1101 - 01.1199,None available,No Substantive Changes,None available,None available,01.11,Plant Sciences.,01.11,Plant Sciences.
"A general program that focuses on the scientific principles that underlie the breeding, cultivation, and production of agricultural plants, and the production, processing, and distribution of agricultural plant products.  Includes instruction in the plant sciences, crop cultivation and production, and agricultural and food products processing","26.0301) Botany/Plant Biology., 26.0305) Plant Pathology/Phytopathology., 26.0307) Plant Physiology., 26.0308) Plant Molecular Biology.",No Substantive Changes,None available,None available,01.1101,"Plant Sciences, General.",01.1101,"Plant Sciences, General."
"A program that focuses on the chemical, physical, and biological relationships of crops and the soils nurturing them.  Includes instruction in the growth and behavior of agricultural crops, the development of new plant varieties, and the scientific management of soils and nutrients for maximum plant nutrition, health, and productivity",None available,No Substantive Changes,None available,None available,01.1102,Agronomy and Crop Science.,01.1102,Agronomy and Crop Science.
"A program that focuses on the scientific principles related to the cultivation of garden and ornamental plants, including fruits, vegetables, flowers, and landscape and nursery crops.  Includes instruction in specific types of plants, such as citrus; breeding horticultural varieties; physiology of horticultural species; and the scientific management of horticultural plant development and production through the life cycle",None available,No Substantive Changes,None available,None available,01.1103,Horticultural Science.,01.1103,Horticultural Science.
"A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural plant health, the development of new plant varieties, and the selective improvement of agricultural plant populations.  Includes instruction in genetics, genetic engineering, population genetics, agronomy, plant protection, and biotechnology",26.0805) Plant Genetics.,No Substantive Changes,None available,None available,01.1104,Agricultural and Horticultural Plant Breeding.,01.1104,Agricultural and Horticultural Plant Breeding.
"A program that focuses on the application of scientific principles to the control of animal, insect and weed infestation of domesticated plant populations and other settings, including agricultural crops; the prevention/reduction of attendant economic loss; and the control of environmental pollution and degradation related to pest infestation and pest control measures. Includes instruction in entomology, applicable animal sciences, plant pathology and physiology, weed science, crop science, and environmental toxicology",26.0702) Entomology.,No Substantive Changes,None available,[Pest Management]:::::[Extermination],01.1105,Plant Protection and Integrated Pest Management.,01.1105,Plant Protection and Integrated Pest Management.
"A program that focuses on the scientific study of rangelands, arid regions, grasslands, and other areas of low productivity, as well as the principles of managing such resources for maximum benefit and environmental balance.  Includes instruction in livestock management, wildlife biology, plant sciences, ecology, soil science, and hydrology",None available,No Substantive Changes,None available,None available,01.1106,Range Science and Management.,01.1106,Range Science and Management.
Reserved for use by Statistics Canada. This CIP code is not valid for IPEDS reporting,None available,New,None available,None available,01.1180,Reserved.,,
Any instructional program in plant sciences not listed above,None available,No Substantive Changes,None available,None available,01.1199,"Plant Sciences, Other.",01.1199,"Plant Sciences, Other."
Instructional content for this group of programs is defined in codes 01.1201 - 01.1299,None available,No Substantive Changes,None available,None available,01.12,Soil Sciences.,01.12,Soil Sciences.
"A program that generally focuses on the scientific classification of soils, soil properties, and their relationship to agricultural crops.  Includes instruction in soil chemistry, soil physics, soil biology, soil fertility, morphogenesis, mineralogy, hydrology, agronomy, and soil conservation and management",None available,No Substantive Changes,None available,None available,01.1201,"Soil Science and Agronomy, General.",01.1201,"Soil Science and Agronomy, General."
"A program that focuses on the application of chemical and physical principles to research and analysis concerning the nature and properties of soils and the conservation and management of soils.  Includes instruction in soil and fluid mechanics, mineralogy, sedimentology, thermodynamics, geomorphology, environmental systems, analytical methods, and organic and inorganic chemistry",None available,No Substantive Changes,None available,None available,01.1202,Soil Chemistry and Physics.,01.1202,Soil Chemistry and Physics.
"A program that focuses on application of microbiological theory and methods to the study of the organismic properties of soils, soil-plant and soil-animal interactions, and the biological components and effects of soil management strategies.  Includes instruction in microbiology and related biological sciences, applicable animal and plant sciences, soil chemistry and physics as related to biological characteristics, and environmental science",None available,No Substantive Changes,None available,None available,01.1203,Soil Microbiology.,01.1203,Soil Microbiology.
Any instructional program in the soil sciences not listed above,None available,No Substantive Changes,None available,[Environmental Soil Science],01.1299,"Soil Sciences, Other.",01.1299,"Soil Sciences, Other."
Instructional content for this group of programs is defined in codes 01.1302 - 01.1399,None available,New,None available,None available,01.13,Agriculture/Veterinary Preparatory Programs.,,
A program that prepares individuals for admission to a professional program in veterinary medicine,None available,Moved from 51.1104 to 01.1302,None available,None available,01.1302,Pre-Veterinary Studies.,51.1104,Pre-Veterinary Studies.
Any instructional program that prepares individuals for admission to a professional program in agriculture or veterinary medicine or science not listed above,None available,New,None available,None available,01.1399,"Agriculture/Veterinary Preparatory Programs, Other.",,
Instructional content is defined in code 01.8001,None available,Moved from 51.24 to 01.80,None available,None available,01.80,Veterinary Medicine.,51.24,Veterinary Medicine.
"A program that prepares individuals for the independent professional practice of veterinary medicine, involving the diagnosis, treatment, and health care management of animals and animal populations and the prevention and management of zoonosis.  Includes instruction in the veterinary basic sciences, infectious and noninfectious disease, diagnostic procedures, veterinary clinical medicine, obstetrics, radiology, anesthesiology, surgery, toxicology, animal health and preventive medicine, clinical nutrition, practice management, and professional standards and ethics",None available,Moved from 51.2401 to 01.8001,None available,[Veterinary Medicine (DVM)],01.8001,Veterinary Medicine.,51.2401,Veterinary Medicine.
Instructional content for this group of programs is defined in codes 01.8101 - 01.8199,None available,Moved from 51.25 to 01.81,None available,None available,01.81,Veterinary Biomedical and Clinical Sciences.,51.25,Veterinary Biomedical and Clinical Sciences.
An integrated program of study in one or more of the veterinary medical or clinical sciences or a program undifferentiated as to title,None available,Moved from 51.2501 to 01.8101,None available,"[Veterinary Sciences/Veterinary Clinical Sciences, General (Cert.)]:::::[Veterinary Sciences/Veterinary Clinical Sciences, General (MS)]:::::[Veterinary Sciences/Veterinary Clinical Sciences, General (PhD)]",01.8101,"Veterinary Sciences/Veterinary Clinical Sciences, General.",51.2501,"Veterinary Sciences/Veterinary Clinical Sciences, General."
"A program that focuses on the scientific study of animal models of human disease and related experimental procedures, and prepares veterinarians and animal health specialists to manage the laboratory use and care of experimental animals.  Includes instruction in laboratory animal husbandry, laboratory animal disease, biohazard control, gnotobiology, breeding, comparative anatomy and physiology, comparative gene mapping, protein function, physical and mathematical modeling, computer modeling, stem cell technology, colony and genetic stock management, cryopreservation, applicable regulations, and bioethics",None available,Moved from 51.2509 to 01.8102,None available,[Comparative and Laboratory Animal Medicine (MS)]:::::[Comparative and Laboratory Animal Medicine (PhD)]:::::[Comparative and Laboratory Animal Medicine (Cert.)],01.8102,Comparative and Laboratory Animal Medicine.,51.2509,Comparative and Laboratory Animal Medicine.
