category1,category2,category3,category4,url,introduction,definition,help,spotlight,degreeType,pullQuoteOne,pullQuoteTwo,readyList,collegeList,highSchoolCourseList,majorCourseList,relatedMajors,relatedCareers,collegeSearch
Business,Business,Business Support and Assistant Services,Customer Service,https://bigfuture.collegeboard.org/majors/business-business-support-assistant-services-customer-service,"Students of customer service learn how to work in call centers, on help desks, and online to help customers with problems and questions. Topics covered include user interfaces and behavior, hardware and software systems operation, and data entry. Students also learn how to interact with customers on the phone and through email and how to look up information on databases and the Internet.",,,,This major is most often offered at the certificate and associate's degree levels.,,,,,,,Marketing:::::Office Management,,
Business,Business,Business Support and Assistant Services,Executive Assistant and Executive Secretary,https://bigfuture.collegeboard.org/majors/business-business-support-assistant-services-executive-assistant-executive-secretary,Students in this major learn how to serve as the assistant or secretary to top executives. Their studies include everything from written communications and business law to travel management and conference recording.,,,,This major most often leads to the associate's degree.,,,,,,,"Administrative Assistance and Secretarial Science:::::Business, General:::::Office Management",,https://bigfuture.collegeboard.org/college-search?major=1738_Executive%20Assistant%20and%20Executive%20Secretary
Business,Business,Business Support and Assistant Services,General Office Services,https://bigfuture.collegeboard.org/majors/business-business-support-assistant-services-general-office-services,"Students in this major learn how to perform office work under the direct supervision of office managers and secretaries. They study typing, filing, business communications, and office equipment operation.",,,,This major most often leads to the associate's degree.,,,,,,,"Administrative Assistance and Secretarial Science:::::Business, General:::::Office Management",,https://bigfuture.collegeboard.org/college-search?major=1741_General%20Office%20Services
Business,Business,Business Support and Assistant Services,Office Technology,https://bigfuture.collegeboard.org/majors/business-business-support-assistant-services-office-technology,"Early computers displayed information only in words, not images, and computer users had to type every instruction. It wasn’t until 1984, when Apple released the Macintosh, that computers started to resemble the machines offices rely on today. To become an invaluable member of the team at any office, you’ll need to know your way around the personal computer.
As an office technology major, you’ll learn how to use the latest word-processing, spreadsheet, desktop-publishing, and database management software. You’ll build the kind of cutting-edge computer skills today’s employers are looking for.",Business office technology students learn a wide variety of computer application skills needed to work in administrative support positions.,"A quick study on computers: you’ll learn a lot of software programs in this major. Good grammar, spelling, and attention to detail are also important.","A quick study on computers: you’ll learn a lot of software programs in this major. Good grammar, spelling, and attention to detail are also important.",This major is most often offered at the certificate and associate's degree levels.,"You should be prepared to keep learning even after you land a job: technology is always changing, and you’ll have to keep up.","ENIAC, the world’s first electronic computer, weighed thirty tons, filled several rooms, and used enough power to light ten homes.","Learn how databases are organized and managed:::::Put together a brochure:::::Create all kinds of documents, from business letters to spreadsheets:::::Master the latest word processing programs:::::Try and beat your fastest keyboarding time:::::Spend most of your time on the computer","Is the program accredited by the Association of Collegiate Business Schools and Programs?:::::Are classrooms equipped with the latest office software?:::::Can you choose an area of emphasis? Some programs offer specializations in data entry or business graphics, for example.:::::Will you learn people skills as well as computer skills? :::::Is there an internship program?:::::Will the college help you find work after graduation?:::::What are recent grads doing now?",Psychology:::::Accounting:::::Keyboarding:::::Business:::::Computer applications:::::AP English Language,Keyboarding:::::Computer applications:::::Database management:::::Word processing applications:::::Document formatting/production:::::Spreadsheet applications:::::Desktop publishing:::::Business office procedures:::::Accounting principles:::::Business communications,"Administrative Assistance and Secretarial Science:::::Business, General:::::Database Management:::::Desktop Publishing:::::Office Management",Administrative Assistants and Secretaries:::::Administrative Services Managers:::::Database Administrators:::::Desktop Publishers:::::Financial Clerks:::::General Office Clerks,https://bigfuture.collegeboard.org/college-search?major=1740_Office%20Technology
Business,Business,Business Support and Assistant Services,Receptionist,https://bigfuture.collegeboard.org/majors/business-business-support-assistant-services-receptionist,"Students in this program prepare for work as receptionists, putting a friendly face on businesses and organizations of all sorts. In addition to studying the basics of public relations, they learn how to operate switchboards, answer questions, keep phone records, and take messages.",,,,This major most often leads to the associate's degree.,,,,,,,"Administrative Assistance and Secretarial Science:::::Business, General:::::Public Relations",,https://bigfuture.collegeboard.org/college-search?major=1739_Receptionist
Business,Business,Business Support and Assistant Services,Warehousing and Inventory Management,https://bigfuture.collegeboard.org/majors/business-business-support-assistant-services-warehousing-inventory-management,"Students in this major prepare for business support work in warehouses and related settings. They study record keeping, equipment operation, data entry, shop math, customer service, and more.",,,,This program most often leads to a certificate.,,,,,,,"Business, General:::::Operations Management",,https://bigfuture.collegeboard.org/college-search?major=1742_Warehousing%20and%20Inventory%20Management
Business,Business,Hospitality Administration and Management,Casino Management,https://bigfuture.collegeboard.org/majors/business-hospitality-administration-management-casino-management,"In a casino management program, you’ll learn how to manage casinos and other gaming businesses. You’ll study the principles of the gaming industry, and learn about security and surveillance, ethics, and gaming law.",,,,This program most often leads to a certificate.,,,,,,,Business Administration and Management:::::Hospitality Administration and Management:::::Tourism and Travel Management,,
Business,Business,Hospitality Administration and Management,Hospitality Administration and Management,https://bigfuture.collegeboard.org/majors/business-hospitality-administration-management-hospitality-administration-management,"As a train traveler headed out West in 1875, you would have had trouble finding a decent meal or a place to rest your head. But Fred Harvey changed all that. He started a chain of restaurants and hotels where clean and polite waitresses served tired travelers everything from oysters to duck and olives to ice cream.
You might say that Harvey tamed the Wild West, making it more hospitable (welcoming and pleasant) to travelers. If you study hospitality management, you'll prepare to follow in his footsteps.","Hospitality majors learn to run hotels, restaurants, travel agencies, and other businesses that serve business travelers and vacationers.","An outgoing person with great communication skills. You'll need to be good at solving problems quickly and keeping track of details. You'll enjoy this major if you like learning about a variety of topics, from law to geography to marketing.","Can you see yourself organizing an elegant wedding at a private mansion? Or maybe a business conference at a downtown convention center? You’ll need to think of everything, from ordering decorations to hiring caterers to installing ramps for wheelchair access. 
In a class on event management, you'll learn how to plan events like these from start to finish. By the end of the semester, you'll be prepared to take charge of any function that comes your way.",This major is often offered at the associate's and at the bachelor's level.,Government economists expect the leisure and hospitality sector to provide many new jobs between 2006 and 2016.,Hospitality management majors who want to work as lodging managers should find the most opportunities at luxury hotels.,Join Eta Sigma Delta the national honorary society for students of hospitality and tourism management:::::Practice interacting with customers and guests:::::Consider studying abroad:::::Complete an internship:::::Work with a group of other students to plan a formal event:::::Design your dream resort:::::Join a campus hospitality association,"Do professors have experience and contacts in the hospitality industry?:::::Does the program operate student-run hotels, restaurants, or other hospitality businesses?:::::Does the program feature other hands-on learning activities such as computer simulations?:::::Does the program encourage study abroad?:::::Is there an on-campus hospitality association?:::::Will the program help you find work after graduation?:::::What are recent grads doing now?",AP English Language:::::Foreign language:::::Family and consumer studies:::::Calculus:::::Business:::::Accounting:::::AP Human Geography,Employee labor relations:::::Geography of tourism:::::Facilities design:::::Festival and event management:::::Food service operations:::::Hospitality finance:::::Hospitality law:::::Lodging administration:::::Marketing:::::Resort operations,"Business Administration and Management:::::Culinary Arts:::::Hotel and Motel Management:::::International Business:::::Parks, Recreation, and Leisure Studies:::::Professional Golf Management:::::Tourism and Travel Management","Advertising, Marketing, and Public Relations Managers:::::Chefs:::::Financial Managers:::::Food Service Managers:::::Lodging Managers:::::Meeting and Convention Planners",https://bigfuture.collegeboard.org/college-search?major=1765_Hospitality%20Administration%20and%20Management
Business,Business,Hospitality Administration and Management,Hotel and Motel Management,https://bigfuture.collegeboard.org/majors/business-hospitality-administration-management-hotel-motel-management,"With the right management, hotels can be a lot more than just a place to sleep. In fact, some become a part of history. The Algonquin in New York City is one such hotel. The great singer Marion Anderson slept there. So did authors Gertrude Stein, Simone de Beauvoir, and William Faulkner.
But the Algonquin is most famous for the group of writers who lunched there daily for a decade beginning in 1919, dishing out sharp-tongued opinions about the world around them. While others called them the Algonquin Round Table, they called themselves the Vicious Circle.","Students in this major learn how to manage hotels, motels, and other lodging businesses such as resorts. Course work covers hospitality law, employee management, financial management, and more.",An outgoing person who enjoys interacting with people from various backgrounds. You'll need to be comfortable with computers and have good organizational and problem solving skills. Be prepared to present yourself professionally at school and during visits to hotels and motels.,"Before you graduate, you'll complete an internship where you learn by doing. You'll receive college credit to work in a hotel or motel and learn the ropes from the pros. You might work at an intimate bed and breakfast, an elegant resort, or a bustling downtown hotel. Wherever you intern, you'll see managers in action as they supervise employees and make sure that the whole operation runs smoothly. ",This major is offered at the associate's and at the bachelor's level.,"In 1900, people could rent rooms in elegant hotels for as little as $2 a night. By 1990, the average room rate was $58.70.","Vicious Circle member Dorothy Parker was famous for her one-liners such as ""I don't care what is written about me so long as it isn't true.""","Visit the website of a professional organization such as the American Hotel and Lodging Association:::::Join the national honorary society for hospitality and tourism management students, Eta Sigma Delta:::::Join campus clubs related to hotel management:::::Learn computer software programs:::::Do a lot of hands-on learning:::::Study various subjects from law to marketing to communication",Are there special requirements for acceptance into the program?:::::Do the professors have experience and contacts in the hotel and motel industry?:::::Does the program operate student-run hotels?:::::What other hands-on learning opportunities does the program offer?:::::Are there on-campus clubs related to hotel management?:::::Will the program help you find work after graduation?:::::What are recent grads doing now?,Speech:::::Psychology:::::Foreign language:::::Family and consumer studies:::::Computer applications:::::Calculus:::::AP Microeconomics:::::Business:::::Accounting,Foodservice operations:::::High performance leadership:::::Hospitality and tourism marketing:::::Hospitality and tourism sales:::::Hospitality facilities operations:::::Hospitality law:::::Hotel management information systems:::::Hotel-motel front office procedures:::::Human resources management:::::Revenue and cost control for hotels,Business Administration and Management:::::Finance:::::Hospitality Administration and Management:::::Human Resources Management:::::Public Relations:::::Tourism and Travel Management,"Advertising, Marketing, and Public Relations Managers:::::Chefs:::::Financial Managers:::::Food Service Managers:::::Lodging Managers:::::Meeting and Convention Planners",https://bigfuture.collegeboard.org/college-search?major=1767_Hotel%20and%20Motel%20Management
Business,Business,Hospitality Administration and Management,"Hotel, Motel, and Restaurant Management",https://bigfuture.collegeboard.org/majors/business-hospitality-administration-management-hotel-motel-restaurant-management,"If you choose this program, you’ll study the management of businesses that provide food or lodging to travelers. You’ll learn how to buy, store, and control supplies; plan, design, and manage facilities; manage employees; promote your services; organize events; and run the front desk. Other topics include financial management and hospitality law.",,,,This major most often leads to the associate's degree.,,,,,,,Business Administration and Management:::::Hospitality Administration and Management:::::Tourism and Travel Management,,"https://bigfuture.collegeboard.org/college-search?major=2362_Hotel,%20Motel,%20and%20Restaurant%20Management"
Business,Business,Hospitality Administration and Management,Meeting and Event Planning,https://bigfuture.collegeboard.org/majors/business-hospitality-administration-management-meeting-event-planning,"If you study meeting and event planning, you’ll learn how to see an event through from the early planning stages to cleanup. You’ll cover budgets and finance, site selection, contracts, vendors (such as caterers), negotiations, promotions, food and beverage management, related technology, and hospitality law. Some programs are general while others focus on specific types of events such as weddings or conferences.",,,,This major often leads to the bachelor's degree.,,,,,,,Business Administration and Management:::::Hospitality Administration and Management:::::Tourism and Travel Management,,https://bigfuture.collegeboard.org/college-search?major=2360_Meeting%20and%20Event%20Planning
Business,Business,Hospitality Administration and Management,Resort Management,https://bigfuture.collegeboard.org/majors/business-hospitality-administration-management-resort-management,"Resort management majors prepare for careers running vacation getaways. Topics of study include restaurant management, leisure studies, marketing, travel logistics, finance, and employee supervision.",,,,This major often leads to the bachelor's degree.,,,,,,,Hospitality Administration and Management:::::Hotel and Motel Management:::::Professional Golf Management,,https://bigfuture.collegeboard.org/college-search?major=1769_Resort%20Management
Business,Business,Hospitality Administration and Management,Restaurant and Food Services Management,https://bigfuture.collegeboard.org/majors/business-hospitality-administration-management-restaurant-food-services-management,"This major prepares students to plan, manage, and market restaurants, food services in hotels and other hospitality businesses, food service chains, and restaurant supply companies. Classes include such topics as employee supervision, cooking, and finance.",,,,This major most often leads to the associate's degree.,,,,,,,Business Administration and Management:::::Culinary Arts:::::Hospitality Administration and Management,,https://bigfuture.collegeboard.org/college-search?major=1768_Restaurant%20and%20Food%20Services%20Management
Business,Business,Hospitality Administration and Management,Tourism and Travel Management,https://bigfuture.collegeboard.org/majors/business-hospitality-administration-management-tourism-travel-management,"Until the 1820s, oceangoing ships carried mostly goods and mail -- not passengers. In 1840, the ship Britannia made history when it introduced an onboard cow for fresh milk. This event signaled the shipping industry's new interest in passenger comfort.
Much later, the cruise industry struggled to stay afloat once air travel across the Atlantic became common. But by the 1960s, it bounced back with Caribbean vacation cruises still popular today.","Tourism and travel majors learn to manage tourism- and travel-related businesses. Course work includes such topics as travel-agency management, tour planning, convention and event planning, and travel industry law.","An outgoing people person. You should be someone who loves learning about various destinations and cultures, and who's excited by the idea of helping others plan and take trips, whether for business or pleasure.","Before you graduate, you'll probably complete an internship. You might work in a travel agency, learning how to book trips for customers. You might help out at a visitor center, giving tourists information on popular attractions. Or perhaps you'll work for a cruise line, learning how to help seafaring travelers enjoy themselves. This is a great chance to test out classroom theories in the real world while you still have professors to guide you. ",This major most often leads to the associate's degree.,Mark Twain's humorous book Innocents Abroad tells the tale of the first transatlantic trip to leave from American shores in 1867.,"In 1958, more than a million people flew across the Atlantic Ocean, topping for the first time the number who sailed across.","Join the national honorary society for hospitality and tourism management students, Eta Sigma Delta.:::::Join campus clubs related to tourism and travel management:::::Consider traveling to gain first-hand knowledge of destinations:::::Learn to use various software programs",Are the professors actively involved in the travel and tourism industry?:::::What hands-on learning opportunities does the program provide?:::::Will the program help you find work after graduation?:::::What are recent grads doing now?,Accounting:::::Psychology:::::Human geography:::::Computer applications:::::Business:::::AP English Language,"Business presentations:::::Cars, rails, and rooms:::::Computer-based information systems:::::Cruise marketing and sales:::::Destinations and cultures:::::Hospitality law:::::Leadership management in service cultures:::::Marketing management:::::Reservations and ticketing:::::Travel agency management",Business Administration and Management:::::Geography:::::Hospitality Administration and Management:::::Hotel and Motel Management:::::Human Resources Management:::::Public Relations,"Advertising, Marketing, and Public Relations Managers:::::Chefs:::::Financial Managers:::::Food Service Managers:::::Lodging Managers:::::Meeting and Convention Planners:::::Travel Agents",https://bigfuture.collegeboard.org/college-search?major=1766_Tourism%20and%20Travel%20Management
Business,Business,Human Resources,Human Resources Development,https://bigfuture.collegeboard.org/majors/business-human-resources-human-resources-development,"Students in this major prepare for careers starting and running programs designed to help businesses run more smoothly. They also help people build and strengthen job skills and enjoy their work more. They study a wide range of subjects, including career counseling, psychology, adult education, and organizational behavior.",,,,This major often leads to the bachelor's degree.,,,,,,,Education:::::Human Resources Management:::::Psychology,,https://bigfuture.collegeboard.org/college-search?major=1776_Human%20Resources%20Development
Business,Business,Human Resources,Human Resources Management,https://bigfuture.collegeboard.org/majors/business-human-resources-human-resources-management,"Back in the late 1800s the idea at the cutting edge of business was that people work like machines. If you gave them the right tools and told them exactly how to do their job, they would work better. Since then, human resources has come a long way. People are recognized as psychologically complicated individuals at the heart of every organization. If you major in human resources management, you’ll study people and the workplace  -- and you’ll learn what it takes to meet the needs of people in the workplace.","Human resources majors learn how to handle employment issues such as staffing, training, pay, and health and safety in the workplace.",A team player who genuinely enjoys working with other people. Spoken and written communication skills and interpersonal skills are a must.,"If you major in human resources, you’ll probably take a course in organizational behavior, exploring the psychology and sociology of work. You’ll ask questions such as these: What makes people want to work? How does being part of a group affect the way we act? How can leaders change the culture of an organization? In class, you might act out an argument between coworkers and then discuss ways for them to resolve their differences. And don’t be surprised if you have to write about your own personality and attitudes toward work, authority, and competition. ",This major often leads to the bachelor's degree.,"“Frequent developments in the law, in judicial rulings, in technology (for example, the Internet), and in research … require that HR professionals constantly reinvent themselves.” Wayne F. Cascio, Professor of Management, Business School, University of Colorado, Denver","When an employee quits, it usually costs 150 percent of their salary just to find a replacement.",Practice training methods on your classmates:::::Read the history of labor unions:::::Learn the laws on hiring and firing:::::Study the psychology of motivation,Is the school of business accredited by the Association to Advance Collegiate Schools of Business?:::::How many professors are in the department? Make sure you’ll get the attention you deserve.:::::What is the reputation of the program in the human resources field?:::::Is there an active student chapter of the Society for Human Resource Management on campus?:::::Will the program help you find an internship? Where have students interned recently?:::::Will the program or school help you find a job after graduation?,AP Calculus BC:::::Statistics:::::Economics:::::English:::::Computer applications:::::AP Psychology,Compensation and benefits:::::Employee and labor relations:::::Legal issues in employment:::::Organizational behavior:::::Performance management:::::Staffing:::::Statistics:::::Training and development,Business Administration and Management:::::Labor and Industrial Relations:::::Office Management:::::Psychology:::::Trade and Industrial Teacher Education,"Educational, Vocational, and School Counselors:::::Government Lawyers:::::Human Resources Assistants:::::Labor Relations Managers:::::Occupational Health and Safety Specialists:::::Rehabilitation Counselors:::::Trainers",https://bigfuture.collegeboard.org/college-search?major=1772_Human%20Resources%20Management
Business,Business,Human Resources,Labor and Industrial Relations,https://bigfuture.collegeboard.org/majors/business-human-resources-labor-industrial-relations,"It’s no secret that a downturn in the economy affects employees all over the country. But what legal rights do employees have during a recession? Are they still entitled to health care benefits and unemployment insurance? What about worker’s compensation?
Students of labor and industrial relations study employment issues like these so that they’ll be ready to manage personnel issues for a business, union, or other organization. Their studies are interdisciplinary, including courses in everything from psychology to economics.","Students of labor and industrial relations explore the history, contributions, and problems of working people as well as their relations with employers. Instruction also covers management theory and practice.",A patient listener who wants to help others understand each other. Strong organizational skills are also important.,"In a course on labor and employment law, you’ll learn about the rights of workers in the United States. Topics covered include age discrimination, sexual harassment, unemployment insurance, and worker’s compensation. 
You can expect to spend a fair amount of time studying the Fair Labor Standards Act, the National Labor Relations Act, and their amendments. These laws established minimum wage and over-time rules, unemployment benefits, and other key employee rights.",This major often leads to the bachelor's degree.,"Some of the earliest job strikes for higher wages were led by women. Even an eleven-year-old girl played a key role in a strike at a cloth factory in Lowell, Massachusetts.","When it was first instated in 1938, the federal minimum wage was only $0.25 an hour.",Practice techniques for resolving conflicts:::::Understand labor unions:::::Learn labor and employment law:::::Explore sources of workplace tensions:::::Study labor trends,If the program is Association to Advance Collegiate Schools of Business?:::::Does the program focus more on preparing students to work for labor unions or for employers?:::::How many professors are in the department? Make sure you’ll get the attention you deserve.:::::What are recent grads doing now?,Statistics:::::Business:::::AP U.S. Government & Politics:::::AP U.S. History:::::AP Psychology:::::AP Microeconomics:::::AP Macroeconomics,Collective bargaining:::::Compensation and performance appraisal:::::Contemporary American unionism:::::Labor and employment law:::::Labor economics:::::Labor history:::::Staffing and training:::::Union organizing and labor relations:::::Unions and management,"Business Administration and Management:::::Business, General:::::Human Resources Management:::::Psychology:::::Public Administration:::::Public Relations",Community Organizers and Activists:::::Government Lawyers:::::Human Resources Assistants:::::Human Resources Managers:::::Public Interest Lawyers:::::Top Executives,https://bigfuture.collegeboard.org/college-search?major=1773_Labor%20and%20Industrial%20Relations
Business,Business,Human Resources,Labor Studies,https://bigfuture.collegeboard.org/majors/business-human-resources-labor-studies,"Students in this major study work and the labor movement from the perspective of the social sciences. Topics of study include labor history, politics, civil rights, labor law, public policy, and more.",,,,This major is offered at the associate's and at the bachelor's level.,,,,,,,History:::::Human Resources Management:::::Labor and Industrial Relations,,https://bigfuture.collegeboard.org/college-search?major=1775_Labor%20Studies
Business,Business,Human Resources,Organizational Behavior Studies,https://bigfuture.collegeboard.org/majors/business-human-resources-organizational-behavior-studies,"Students of organizational behavior studies analyze the behaviors and motivations of people in businesses and other organizations. Subjects covered include organizational psychology, the sociology of organizations, employee relations, leadership styles, and power.",,,,This major often leads to the bachelor's degree.,,,,,,,Human Resources Management:::::Psychology:::::Sociology,,https://bigfuture.collegeboard.org/college-search?major=1774_Organizational%20Behavior%20Studies
Business,Business,NONE,Business and Managerial Economics,https://bigfuture.collegeboard.org/majors/business-business-managerial-economics,"How high can you price a car before it becomes too expensive to sell? How should you decide if restaurant managers can afford to offer their waiters a raise? How will companies that sell computers to businesses be affected if the government raises interest rates?
If you major in business and managerial economics, you’ll learn how to answer questions like these. You’ll combine business classes with advanced courses in economics and study the many factors that affect the buying and selling of goods and services.",Students of business and managerial economics learn how to use the concepts of economics to study businesses. ,Good at math and able to work as part of a team. You’ll be working with your peers on challenging group projects as part of your classes. ,"One of your first courses will be microeconomics, which focuses on supply and demand. While you’ve probably heard of the laws of supply and demand, you may wonder just what kind of laws they are. Are they more like the laws passed by Congress or the law of gravity?
The truth is, they fall somewhere in the middle: the laws of supply and demand concern the behavior of human beings. Although human behavior is less predictable than gravity, these laws are a good way of foreseeing what will happen when buyers meet sellers in the marketplace. ",This major is often offered at the associate's and at the bachelor's level.,"If you choose this major, you’ll examine the way the government influences the economy by, for example, setting interests rates (the cost of borrowing money).",The International Association of Students in Economics and Business Management can help you intern in another country.,"Join Alpha Kappa Psi or another group for business majors:::::Write a senior thesis on, for example, the effects of bank mergers on small business:::::Use math to solve economic problem sets:::::Apply theories you learn in class to real-life business situations",Is the program offered through the school of business or the economics department?:::::Is the school of business accredited by the Association to Advance Collegiate Schools of Business?:::::When can you apply for admission to the program?:::::How high does your GPA need to be for admission to the program?,AP Macroeconomics:::::AP Calculus AB or Calculus BC:::::Statistics:::::Computer applications:::::Business:::::AP Microeconomics,Accounting:::::Business policy and strategic management:::::Calculus:::::Econometrics:::::Economics of regulation:::::Financial markets:::::International trade:::::Labor economics:::::Micro- and macroeconomics:::::Money and banking,Accounting:::::Agricultural Economics:::::Applied Mathematics:::::Business Administration and Management:::::Economics:::::Finance:::::Urban Studies,Economists:::::Financial Analysts:::::Financial Managers:::::Management Accountants and Internal Auditors:::::Management Consultants:::::Top Executives,https://bigfuture.collegeboard.org/college-search?major=1749_Business%20and%20Managerial%20Economics
Business,Business,NONE,Business Communications,https://bigfuture.collegeboard.org/majors/business-business-communications,"If you’re fascinated with the way individuals and groups communicate, you have something in common with business communications majors. These students don’t rest until they know they’re getting their point across in the most effective way possible.
They learn more than how to practice and manage communications within businesses. They also learn how to communicate with those outside the organization, handling everything from ad campaigns to public-relations crises.","Business communications majors learn how to write, edit, and speak professionally.",A lover of language with great people skills who enjoys working on team projects.,"In a class on public relations writing, you’ll learn how to create and promote a public image — of an organization or a person. This class will introduce you to a wide range of professional techniques. You’ll learn how to write press releases and public service announcements and to secure TV and radio interviews.
You’ll have to be a writing machine to pass the class — and take quizzes and exams. But by the end of the semester, you should be ready to ace the writing test you may receive from potential employers. And that’s nothing to sneeze at. ",This major often leads to the bachelor's degree.,"Students of business communications go on to become speech writers, desktop publishers, grant writers, and more.",“The difference between the right word and the almost right word is the difference between lightning and a lightning bug.” -- Mark Twain,Learn how to train others:::::Work on group projects:::::Create mock marketing packets and pamphlets:::::Learn how to improve teamwork within corporations:::::Develop and deliver formal presentations using audio/visual aids:::::Examine the psychology of communication:::::Study the history of the media:::::Learn how to write and speak clearly,Is the school of business accredited by the Association to Advance Collegiate Schools of Business?:::::How many professors are in the department? Make sure you’ll get the attention you deserve.:::::What work have professors done outside the university?:::::Will the college help you find an internship in the field?:::::Is there an active campus chapter of the Public Relations Student Society of America?,Speech:::::Journalism:::::Creative writing:::::Computer applications:::::AP Psychology:::::AP English Language,Advertising and marketing communications:::::Argumentation and debate:::::Business communication:::::Intercultural communication:::::Interpersonal and group communication:::::Managerial communication within organizations:::::Media analysis and criticism:::::Organizational behavior:::::Psychology:::::Public relations writing:::::Public speaking:::::Writing for business and technology,Advertising:::::Communication and Rhetoric:::::Human Resources Management:::::Journalism:::::Marketing:::::Mass Communications:::::Public Relations,Copywriters:::::Editors:::::Human Resources Managers:::::Public Relations Specialists:::::Technical Writers:::::Trainers,https://bigfuture.collegeboard.org/college-search?major=1747_Business%20Communications
Business,Business,NONE,"Business, General",https://bigfuture.collegeboard.org/majors/business-business-general,"Handheld computers and cell phones make business dealings easier and faster. But there's a downside. Because these devices are easily lost, there's a risk that private information will fall into the wrong hands. Executives using cell phones in airports or other public places may forget to avoid discussing confidential topics. To make matters worse, competitors could also use technology to listen in.
How can we ensure that the cons of new technology don’t outweigh the pros? If you major in business, you’ll learn a wide range of business skills and study the issues affecting today's business climate.","Business majors study the buying, selling, and producing of goods, as well as business organization and accounting. They learn how to use the basic principles and techniques of business in a variety of workplaces.","Interested in studying topics ranging from accounting to ethics to computers. Good speaking, writing, time management, and organization skills will smooth your path to success.","In a class on business communications, you’ll learn how to choose the right communication tool — whether e-mail, phone call, fax, or letter — for any situation. You’ll also learn how to tailor your message according to your purpose, using different words to persuade than to instruct, for example. 
And you’ll get a lot of practice writing business letters and memos, making oral presentations, and preparing charts and other visual aids. You might even create a resume, which will give you a head start in your job search once you graduate.",This major is often offered at the associate's and at the bachelor's level.,"Many business programs take into account the needs of working students. For example, they often offer early morning, evening, and weekend classes.",Social psychologists have found that we form lasting impressions of others in only thirty seconds. That means you really do need to dress for success in the work world.,Practice your speaking skills with Toastmasters:::::Join a business honorary society such as Beta Gamma Sigma:::::Develop your oral and written communication skills:::::Interact professionally with businesspeople who visit your classes:::::Work with numbers:::::Use computers,"If the program awards the bachelor’s degree, is it accredited by the Association to Advance Collegiate Schools of Business?:::::Does the program focus more on preparing students for the workplace or for further education?:::::Are the professors active in the business world?:::::Does the program include hands-on learning opportunities such as internships or co-ops?:::::What are recent grads doing now?:::::Will the program help you find work after graduation?:::::Can you talk to recent graduates?",Computer applications:::::Business:::::AP English Language:::::Accounting:::::Speech:::::Psychology:::::AP Microeconomics,Accounting:::::Business communications:::::Business law:::::Computer applications:::::Economics:::::Legal environment of business:::::Management:::::Managerial finance:::::Principles of marketing,Business Administration and Management:::::Ecommerce:::::Entrepreneurial Studies:::::Finance:::::Management Science:::::Marketing,Human Resources Assistants:::::Insurance Sales Agents:::::Market and Survey Researchers:::::Public Relations Specialists:::::Real Estate Brokers and Sales Agents:::::Sales Worker Supervisors,"https://bigfuture.collegeboard.org/college-search?major=1716_Business,%20General"
Business,Business,NONE,Business Statistics,https://bigfuture.collegeboard.org/majors/business-business-statistics,"Students in this major learn how to use statistics to describe, study, and forecast (predict) business activity. Courses cover statistical theory and methods, computer applications, forecasting methods, data analysis, and more.",,,,This major often leads to the bachelor's degree.,,,,,,,Business Administration and Management:::::Statistics,,https://bigfuture.collegeboard.org/college-search?major=1787_Business%20Statistics
Business,Business,NONE,Construction Management,https://bigfuture.collegeboard.org/majors/business-construction-management,"In 1961, construction crews started working around the clock to build Seattle’s famous Space Needle. To construct a base that would ensure stability in an earthquake, they dug a hole 30-feet deep and 120-feet across and filled it with 467 truckloads of cement.
But those cement trucks didn’t show up by themselves, and neither did the construction crews. Behind the scenes were construction managers, the people who coordinated the entire effort. If you major in construction management, you’ll learn all you need to fill their shoes.","Construction management students learn the skills needed to manage, coordinate, and supervise construction projects from start to finish, including scheduling, budgeting, and managing materials and people.","Interested in the way things are built. You’ll also need a head for math and science and the ability to multi-task. In construction management, you’ll juggle many responsibilities.","Crunching numbers may not sound much like construction work, but nothing gets built before a budget is in place. That’s why construction estimating is a required course. You’ll learn, step-by-step, the complex process of computing costs for everything from building materials to labor. You’ll practice looking for clues in floor plans and you’ll get a handle on competitive bidding. ",This major is offered at the associate's and at the bachelor's level.,"Construction managers oversee projects of every type, from houses to highways.","George Washington was president while the White House was being built, but he never got to live in it.",Develop supervisory skills:::::Learn construction laws:::::Study materials and methods:::::Estimate construction costs:::::Learn the art of project scheduling,Is the program accredited by the American Council for Construction Education?:::::Does the school offer a two-year associate’s degree or a four-year bachelor’s degree?:::::Do the instructors bring substantial field experience to the classroom?:::::Is there a chapter of Sigma Lambda Chi (the construction honor society) on campus?:::::What kinds of hands-on experiences are provided? Is there an internship program?,English:::::Computer assisted drafting (CAD):::::Business:::::Algebra:::::AP Physics B,Blueprint reading:::::Construction cost management:::::Construction estimating:::::Construction materials and systems:::::Construction project management:::::Electrical and mechanical systems:::::Labor law:::::Principles of management,"Architecture:::::Business Administration and Management:::::Civil Engineering:::::Engineering Technology:::::Heating, Ventilation, Air-Conditioning, and Refrigeration Technology:::::Real Estate",Architects:::::Civil Engineers:::::Construction Managers:::::Construction and Building Inspectors:::::Cost Estimators:::::Drafters:::::Electricians:::::Ironworkers:::::Plumbers:::::Property Managers,https://bigfuture.collegeboard.org/college-search?major=1836_Construction%20Management
